Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-01-01,1103.4735107421875,1123.9946934016793,1099.0522352118023,1118.7809731207883,1351760
2018-01-02,1097.46728515625,1113.4838955598188,1092.8792111365078,1109.479717501307,1920290
2018-01-03,1100.5740966796875,1113.2330444554036,1097.4667411817068,1097.800439492927,1257120
2018-01-04,1108.269775390625,1110.313512348346,1101.1373676181943,1105.308342495536,913082
2018-01-05,1121.65869140625,1125.9548164619346,1105.3084880993247,1105.3084880993247,1153706
2018-01-08,1132.1697998046875,1137.3627469169796,1118.593353008875,1126.1636344862857,1242220
2018-01-09,1129.9173583984375,1134.9225294212433,1116.3825621236929,1132.4199439098404,2149396
2018-01-10,1170.6259765625,1174.5466526395562,1123.9318262902552,1130.7514116853115,3365850
2018-01-11,1163.9105224609375,1177.0073426516333,1160.4485929974026,1172.0439233525296,2520744
2018-01-12,1158.0091552734375,1169.9589627706116,1143.077038341498,1169.9589627706116,3360314
2018-01-15,1145.3916015625,1171.2098986968913,1140.7826533543148,1158.34239878565,1457214
2018-01-16,1189.0826416015625,1193.5872138683228,1147.2477351954476,1149.520896573305,4267752
2018-01-17,1204.9739990234375,1220.010386719872,1193.7957638320145,1197.0700204738573,4280806
2018-01-18,1217.1741943359375,1223.3472591738255,1196.2567904559303,1208.3317455937854,2209478
2018-01-19,1234.31689453125,1243.7849892746592,1211.1053529993246,1222.325339051154,1820000
2018-01-22,1302.9244384765625,1310.5754401421532,1221.64848175142,1237.953851631059,4367110
2018-01-23,1296.9041748046875,1313.7740039807568,1291.9080621149658,1302.3183739466351,3239610
2018-01-24,1327.2572021484375,1362.5645802325957,1288.8140738131326,1291.8870498575654,5621538
2018-01-25,1304.868896484375,1329.4314784581056,1288.1245116776902,1327.4246428356591,3833844
2018-01-29,1337.3961181640625,1348.3290399382104,1305.26612796499,1309.1961004619393,3141060
2018-01-30,1318.1640625,1339.4655492629834,1314.338509781436,1329.5150701474995,1574758
2018-01-31,1301.2318115234375,1316.9727304731825,1295.4831210332768,1311.537604918849,3043214
2018-02-01,1312.206298828125,1333.6959035933148,1291.3855712040443,1306.1021952431083,2400630
2018-02-02,1318.4984130859375,1333.6958977654085,1297.5104917862657,1304.4298435824685,2456490
2018-02-05,1297.406005859375,1332.8597614593743,1286.3894878319832,1300.2490144726019,2757742
2018-02-06,1253.1097412109375,1286.5148111746562,1247.9881816714148,1258.440343996971,2657306
2018-02-07,1235.466796875,1267.220452937218,1232.2892979656235,1265.5481065790034,2180324
2018-02-08,1243.4730224609375,1265.7989059384822,1237.1181271831324,1245.793423276086,2755004
2018-02-09,1242.4276123046875,1251.7509615240053,1211.0502005535088,1233.3551558102258,2102458
2018-02-12,1240.5880126953125,1264.0217799392487,1235.6754966338085,1245.1869639018269,1974562
2018-02-14,1217.384521484375,1243.5776048372254,1209.3154300930523,1241.717139974543,2847532
2018-02-15,1223.258544921875,1230.4286882601727,1214.5832492095412,1225.8088115748853,2465236
2018-02-16,1226.268798828125,1254.092479665424,1222.067008507652,1222.067008507652,2515756
2018-02-19,1222.3173828125,1234.734527898508,1210.4436683636252,1231.2643905261148,1568224
