date,avg_polarity,avg_confidence,news_article_count,sentiment_change,momentum_3d,momentum_5d
2017-12-18,0.0,0.6905496716499329,1,0.0,0.0,0.0
2017-12-19,0.0,0.0,0,0.0,0.0,0.0
2017-12-20,0.0,0.0,0,0.0,0.0,0.0
2017-12-21,0.0,0.0,0,0.0,0.0,0.0
2017-12-22,0.0,0.0,0,0.0,0.0,0.0
2017-12-23,0.930562436580658,0.930562436580658,2,0.930562436580658,0.3101874788602193,0.1861124873161316
2017-12-24,0.0,0.8160114288330078,2,-0.930562436580658,0.3101874788602193,0.1861124873161316
2017-12-25,0.5411333441734314,0.5411333441734314,1,0.5411333441734314,0.4905652602513631,0.29433915615081785
2017-12-26,0.0,0.0,0,-0.5411333441734314,0.1803777813911438,0.29433915615081785
2017-12-27,0.0,0.0,0,0.0,0.1803777813911438,0.29433915615081785
2017-12-28,0.0,0.0,0,0.0,0.0,0.10822666883468628
2017-12-29,0.0,0.0,0,0.0,0.0,0.10822666883468628
2017-12-30,0.0,0.0,0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0,0.0,0.0,0.0
2018-01-02,0.437653124332428,0.7333902418613434,2,0.437653124332428,0.14588437477747598,0.08753062486648559
2018-01-03,0.9401180148124696,0.9401180148124696,1,0.5024648904800416,0.4592570463816325,0.2755542278289795
2018-01-04,0.9454805850982666,0.9454805850982666,1,0.005362570285797008,0.7744172414143881,0.4646503448486328
2018-01-05,0.0,0.0,0,-0.9454805850982666,0.628532866636912,0.4646503448486328
2018-01-06,-0.948433518409729,0.948433518409729,1,-0.948433518409729,-0.0009843111038208008,0.27496364116668703
2018-01-07,0.0,0.0,0,0.948433518409729,-0.31614450613657635,0.18743301630020143
2018-01-08,0.0,0.0,0,0.0,-0.31614450613657635,-0.0005905866622924804
2018-01-09,0.0,0.0,0,0.0,0.0,-0.1896867036819458
2018-01-10,0.0,0.0,0,0.0,0.0,-0.1896867036819458
2018-01-11,0.0,0.0,0,0.0,0.0,0.0
2018-01-12,0.0,0.0,0,0.0,0.0,0.0
2018-01-13,0.0,0.0,0,0.0,0.0,0.0
2018-01-14,0.0,0.0,0,0.0,0.0,0.0
2018-01-15,0.0,0.8430445790290833,1,0.0,0.0,0.0
2018-01-16,-0.0068975687026977,0.9583323001861572,2,-0.0068975687026977,-0.0022991895675659,-0.00137951374053954
2018-01-17,0.3544445931911468,0.793593168258667,2,0.3613421618938445,0.11584900816281636,0.06950940489768982
2018-01-18,0.0,0.7491142153739929,1,-0.3544445931911468,0.11584900816281636,0.06950940489768982
2018-01-19,0.9533019065856934,0.9533019065856934,1,0.9533019065856934,0.4359154999256134,0.2601697862148285
2018-01-20,0.8103417158126831,0.8103417158126831,1,-0.14296019077301025,0.5878812074661255,0.4222381293773651
2018-01-21,0.0,0.0,0,-0.8103417158126831,0.5878812074661255,0.4236176431179047
2018-01-22,0.9292410016059875,0.9292410016059875,1,0.9292410016059875,0.5798609058062235,0.5385769248008728
2018-01-23,0.0,0.0,0,-0.9292410016059875,0.30974700053532916,0.5385769248008728
2018-01-24,0.7957976460456848,0.7957976460456848,2,0.7957976460456848,0.5750128825505575,0.5070760726928711
2018-01-25,0.8825950622558594,0.8825950622558594,1,0.08679741621017456,0.5594642361005148,0.5215267419815064
2018-01-26,0.0,0.0,0,-0.8825950622558594,0.5594642361005148,0.5215267419815064
2018-01-27,0.0,0.0,0,0.0,0.29419835408528644,0.33567854166030886
2018-01-28,0.0,0.0,0,0.0,0.0,0.33567854166030886
2018-01-29,0.0,0.0,0,0.0,0.0,0.17651901245117188
2018-01-30,0.8343406617641449,0.8343406617641449,2,0.8343406617641449,0.27811355392138165,0.166868132352829
2018-01-31,0.0,0.0,0,-0.8343406617641449,0.27811355392138165,0.166868132352829
2018-02-01,0.0,0.0,0,0.0,0.27811355392138165,0.166868132352829
2018-02-02,0.0,0.0,0,0.0,0.0,0.166868132352829
2018-02-03,0.538124680519104,0.538124680519104,1,0.538124680519104,0.179374893506368,0.2744930684566498
2018-02-04,0.0,0.0,0,-0.538124680519104,0.179374893506368,0.1076249361038208
2018-02-05,0.0,0.9450727105140686,1,0.0,0.179374893506368,0.1076249361038208
2018-02-06,0.0,0.9409173130989076,1,0.0,0.0,0.1076249361038208
2018-02-07,0.0,0.0,0,0.0,0.0,0.1076249361038208
2018-02-08,0.0,0.5899754762649536,1,0.0,0.0,0.0
2018-02-09,0.0,0.0,0,0.0,0.0,0.0
2018-02-10,0.0,0.0,0,0.0,0.0,0.0
2018-02-11,0.0,0.0,0,0.0,0.0,0.0
2018-02-12,0.0,0.0,0,0.0,0.0,0.0
2018-02-13,0.0,0.0,0,0.0,0.0,0.0
2018-02-14,0.0,0.0,0,0.0,0.0,0.0
2018-02-15,0.0,0.9249542355537416,1,0.0,0.0,0.0
2018-02-16,0.0,0.0,0,0.0,0.0,0.0
2018-02-17,0.0,0.8933157920837402,1,0.0,0.0,0.0
2018-02-18,0.0,0.0,0,0.0,0.0,0.0
2018-02-19,0.5113226175308228,0.5113226175308228,1,0.5113226175308228,0.17044087251027426,0.10226452350616455
2018-02-20,0.0,0.0,0,-0.5113226175308228,0.17044087251027426,0.10226452350616455
2018-02-21,0.2855506539344787,0.7501586675643921,2,0.2855506539344787,0.26562442382176715,0.1593746542930603
2018-02-22,-0.6962245106697083,0.6962245106697083,1,-0.981775164604187,-0.13689128557840982,0.020129752159118653
2018-02-23,0.6788218021392822,0.6788218021392822,1,1.3750463128089905,0.08938264846801758,0.1558941125869751
2018-02-24,0.0,0.0,0,-0.6788218021392822,-0.005800902843475324,0.053629589080810544
2018-02-25,0.0,0.0,0,0.0,0.2262739340464274,0.053629589080810544
2018-02-26,0.9349796175956726,0.9349796175956726,1,0.9349796175956726,0.31165987253189087,0.18351538181304933
2018-02-27,0.7377697229385376,0.7377697229385376,1,-0.197209894657135,0.5575831135114034,0.4703142285346985
2018-02-28,-0.7282325029373169,0.7282325029373169,1,-1.4660022258758545,0.3148389458656311,0.18890336751937867
2018-03-01,0.0,0.0,0,0.7282325029373169,0.0031790733337402344,0.18890336751937867
2018-03-02,0.0,0.0,0,0.0,-0.2427441676457723,0.18890336751937867
2018-03-03,0.0,0.0,0,0.0,0.0,0.0019074440002441405
2018-03-04,0.0,0.0,0,0.0,0.0,-0.14564650058746337
2018-03-05,0.0,0.0,0,0.0,0.0,0.0
2018-03-06,0.865267276763916,0.865267276763916,1,0.865267276763916,0.288422425587972,0.17305345535278321
2018-03-07,0.0,0.0,0,-0.865267276763916,0.288422425587972,0.17305345535278321
2018-03-08,0.0,0.0,0,0.0,0.288422425587972,0.17305345535278321
2018-03-09,0.0,0.0,0,0.0,0.0,0.17305345535278321
2018-03-10,0.0,0.0,0,0.0,0.0,0.17305345535278321
